I
1130 Generated by WorldEditor 2.0.0r4

1     73 1 0 TDPD Dominica/Melville Hall
111  15.54548988 -061.30180361
111  15.54520524 -061.30168303
111  15.54524804 -061.30157191
111  15.54529415 -061.30144631
111  15.54525582 -061.30143131
111  15.54528513 -061.30136293
111  15.54535701 -061.30139196
111  15.54552351 -061.30093293
111  15.54613076 -061.29914331
111  15.54651752 -061.29928406
111  15.54629061 -061.29993736
111  15.54609602 -061.30049762
111  15.54580253 -061.30134263
112  15.54572497 -061.30157183  15.54568671 -061.30168482
111  15.54572497 -061.30157183
114  15.54572497 -061.30157183  15.54568876 -061.30167876
110 2 0.00 70.0000 H Pad
111  15.54520524 -061.30168303
111  15.54506403 -061.30162922
111  15.54515499 -061.30134852
111  15.54520364 -061.30137012
111  15.54519058 -061.30140503
111  15.54525582 -061.30143131
111  15.54529415 -061.30144631
113  15.54524804 -061.30157191
110 1 0.00 70.0000 Road
111  15.54979831 -061.29246775
111  15.54992188 -061.29252414
111  15.54955523 -061.29354692
111  15.54951231 -061.29352995
111  15.54979938 -061.29275035
113  15.54975006 -061.29261330
110 1 0.00 70.0000 Road
111  15.54750841 -061.29933030
111  15.54752230 -061.29929093
111  15.54795709 -061.29942716
113  15.54793152 -061.29945768
110 1 0.00 70.0000 Road
111  15.54676479 -061.29797777
112  15.54683758 -061.29804135  15.54690363 -061.29810437
111  15.54685569 -061.29821383
111  15.54650735 -061.29890379
112  15.54678103 -061.29901116  15.54693709 -061.29906405
111  15.54678103 -061.29901116
112  15.54678103 -061.29901116  15.54689013 -061.29905134
112  15.54699666 -061.29904369  15.54711644 -061.29902397
111  15.54699666 -061.29904369
112  15.54699666 -061.29904369  15.54692517 -061.29907937
111  15.54684772 -061.29911035
112  15.54681536 -061.29906376  15.54678059 -061.29905224
111  15.54648743 -061.29894201
111  15.54644222 -061.29903148
111  15.54640953 -061.29909616
112  15.54635249 -061.29907202  15.54631746 -061.29905688
111  15.54635249 -061.29907202
112  15.54635249 -061.29907202  15.54630469 -061.29905136
112  15.54615928 -061.29898302  15.54608591 -061.29894676
111  15.54615928 -061.29898302
112  15.54615928 -061.29898302  15.54618221 -061.29893903
112  15.54631163 -061.29867440  15.54636055 -061.29857105
111  15.54631163 -061.29867440
112  15.54631163 -061.29867440  15.54640236 -061.29871883
112  15.54651400 -061.29877530  15.54653260 -061.29878309
111  15.54651400 -061.29877530
112  15.54651400 -061.29877530  15.54651523 -061.29877443
112  15.54680039 -061.29823256  15.54689243 -061.29806443
111  15.54680039 -061.29823256
112  15.54680039 -061.29823256  15.54682340 -061.29819053
112  15.54682986 -061.29812753  15.54682855 -061.29809920
111  15.54682986 -061.29812753
112  15.54682986 -061.29812753  15.54682855 -061.29809920
112  15.54680495 -061.29806041  15.54679170 -061.29804364
111  15.54680495 -061.29806041
112  15.54680495 -061.29806041  15.54677846 -061.29802687
113  15.54674047 -061.29801435
110 4 0.00 0.0000 Road
111  15.54634599 -061.29922162
112  15.54637869 -061.29915393  15.54636912 -061.29908994
111  15.54635249 -061.29907202
112  15.54640953 -061.29909616  15.54643931 -061.29910862
111  15.54640953 -061.29909616
112  15.54640953 -061.29909616  15.54643250 -061.29905074
112  15.54644220 -061.29903077  15.54644219 -061.29903108
111  15.54644220 -061.29903077
112  15.54644220 -061.29903077  15.54644450 -061.29903281
112  15.54645750 -061.29916718  15.54648255 -061.29921977
111  15.54645750 -061.29916718
112  15.54645750 -061.29916718  15.54648387 -061.29922253
111  15.54652416 -061.29925058
112  15.54645537 -061.29925232  15.54640272 -061.29925179
111  15.54645537 -061.29925232
112  15.54645537 -061.29925232  15.54643094 -061.29925207
112  15.54639822 -061.29924107  15.54637771 -061.29923145
111  15.54639822 -061.29924107
114  15.54639822 -061.29924107  15.54637499 -061.29923270
110 1 0.00 70.0000 Road
111  15.54403422 -061.30912768
111  15.54369172 -061.31008747
111  15.54375533 -061.31021646
111  15.54371021 -061.31033778
111  15.54360812 -061.31031858
112  15.54342097 -061.31084992  15.54338842 -061.31092901
111  15.54346757 -061.31099274
111  15.54367396 -061.31118239
111  15.54364881 -061.31119698
112  15.54341283 -061.31098506  15.54336475 -061.31093131
112  15.54338114 -061.31086618  15.54338053 -061.31086490
113  15.54400120 -061.30911588
110 3 0.00 0.0000 Grass
111  15.54562941 -061.30054964
111  15.54562182 -061.30057247
112  15.54560544 -061.30059288  15.54559373 -061.30059608
111  15.54558041 -061.30058533
113  15.54559736 -061.30053684
110 3 0.00 0.0000 Grass
111  15.54577949 -061.29989068
111  15.54582033 -061.29978472
111  15.54588957 -061.29981328
113  15.54584962 -061.29992016
110 3 0.00 0.0000 Grass
111  15.54572282 -061.30004739
111  15.54577150 -061.29991648
111  15.54584459 -061.29994535
113  15.54579733 -061.30007673
110 3 0.00 0.0000 Grass
111  15.54564906 -061.30024578
111  15.54570209 -061.30009828
111  15.54577773 -061.30012898
113  15.54572285 -061.30027386
110 3 0.00 0.0000 Grass
111  15.54560876 -061.30035276
111  15.54562702 -061.30030358
111  15.54570344 -061.30033664
113  15.54568421 -061.30038655
110 3 0.00 0.0000 Grass
111  15.54556760 -061.30045472
111  15.54558851 -061.30040271
111  15.54566914 -061.30043880
113  15.54564843 -061.30049101
110 3 0.00 0.0000 Grass
111  15.54589654 -061.29979615
111  15.54575859 -061.29973932
111  15.54586734 -061.29944385
111  15.54589887 -061.29945676
111  15.54604699 -061.29910536
111  15.54615928 -061.29898302
111  15.54635249 -061.29907202
112  15.54637869 -061.29915393  15.54638826 -061.29921793
111  15.54634599 -061.29922162
113  15.54613076 -061.29914331
110 3 0.00 0.0000 Grass
112  15.54674047 -061.29801435  15.54675916 -061.29798453
111  15.54674047 -061.29801435
112  15.54674047 -061.29801435  15.54677244 -061.29802689
112  15.54680495 -061.29806041  15.54681884 -061.29807767
111  15.54680495 -061.29806041
112  15.54680495 -061.29806041  15.54682206 -061.29808168
112  15.54682986 -061.29812753  15.54683100 -061.29814992
111  15.54682986 -061.29812753
112  15.54682986 -061.29812753  15.54683234 -061.29818123
111  15.54680039 -061.29823256
111  15.54651400 -061.29877530
113  15.54631163 -061.29867440
110 3 0.00 0.0000 Grass
111  15.54519058 -061.30140503
111  15.54520364 -061.30137012
111  15.54526915 -061.30139920
113  15.54525582 -061.30143131
110 1 0.00 0.0000 Car Park
111  15.54603773 -061.29866108
112  15.54608807 -061.29870726  15.54608805 -061.29870793
111  15.54608807 -061.29870726
112  15.54608807 -061.29870726  15.54608357 -061.29871486
112  15.54602014 -061.29880480  15.54597936 -061.29885524
111  15.54602014 -061.29880480
112  15.54602014 -061.29880480  15.54594531 -061.29875862
112  15.54584397 -061.29846775  15.54585740 -061.29839170
111  15.54584397 -061.29846775
112  15.54584397 -061.29846775  15.54585237 -061.29828765
111  15.54567045 -061.29753563
111  15.54622069 -061.29734525
111  15.54645700 -061.29821477
111  15.54643153 -061.29824595
111  15.54638901 -061.29822036
111  15.54637062 -061.29824625
111  15.54639808 -061.29829503
111  15.54609249 -061.29866437
113  15.54604720 -061.29864517
130 Airport Boundary
111  15.54494821 -061.30835656
111  15.54430218 -061.30885026
111  15.54362776 -061.30862183
111  15.54400401 -061.30673548
111  15.54432348 -061.30521018
111  15.54486302 -061.30434806
111  15.54559423 -061.30232849
111  15.54468554 -061.30172427
111  15.54560843 -061.29885053
111  15.54650148 -061.29783340
111  15.54668606 -061.29784077
111  15.54764445 -061.29431827
111  15.54804764 -061.29324885
111  15.54866245 -061.29300663
111  15.54987642 -061.29344139
113  15.55001840 -061.29374350
120 TL
112  15.54696554 -061.29918237  15.54709619 -061.29913094 1
112  15.54719664 -061.29958400  15.54710503 -061.29984119 1
112  15.54687656 -061.30045613  15.54682161 -061.30060189 1
116  15.54649277 -061.30064009  15.54632250 -061.30043469
120 TL
111  15.54621969 -061.30004623 1
112  15.54649277 -061.30064009  15.54660168 -061.30088291
111  15.54649277 -061.30064009
112  15.54649277 -061.30064009  15.54652759 -061.30071773 1
112  15.54657312 -061.30082481  15.54658947 -061.30086531
111  15.54657312 -061.30082481
112  15.54657312 -061.30082481  15.54664061 -061.30099199 1
112  15.54655287 -061.30142570  15.54641113 -061.30183267
111  15.54655287 -061.30142570
112  15.54655287 -061.30142570  15.54649444 -061.30159347 1
112  15.54637045 -061.30193088  15.54631353 -061.30208067
111  15.54637045 -061.30193088
112  15.54637045 -061.30193088  15.54633122 -061.30202785 1
116  15.54597520 -061.30200198  15.54573774 -061.30182143
120 TL
112  15.54648564 -061.30101519  15.54648380 -061.30098080 3
112  15.54635371 -061.30053311  15.54614800 -061.30015785
111  15.54635371 -061.30053311
112  15.54635371 -061.30053311  15.54630487 -061.30042767 3
112  15.54619743 -061.30038184  15.54614446 -061.30038041
111  15.54619743 -061.30038184
112  15.54619743 -061.30038184  15.54618910 -061.30038162 3
112  15.54617258 -061.30038428  15.54616435 -061.30038611
111  15.54617258 -061.30038428
112  15.54617258 -061.30038428  15.54613698 -061.30039219 3
112  15.54607162 -061.30047028  15.54604067 -061.30053998
111  15.54607162 -061.30047028
112  15.54607162 -061.30047028  15.54598743 -061.30071364 3
112  15.54578631 -061.30130392  15.54572342 -061.30149245
111  15.54578631 -061.30130392
112  15.54578631 -061.30130392  15.54577818 -061.30136271 3
112  15.54581807 -061.30146785  15.54585371 -061.30155108
111  15.54581807 -061.30146785
112  15.54581807 -061.30146785  15.54583676 -061.30151150 3
112  15.54590278 -061.30166351  15.54594148 -061.30175502
111  15.54590278 -061.30166351
112  15.54590278 -061.30166351  15.54602790 -061.30202281 3
116  15.54621054 -061.30179460  15.54621412 -061.30176859
120 TL
111  15.54702390 -061.29949431 3
112  15.54675392 -061.29935503  15.54645173 -061.29949196 3
112  15.54641032 -061.29955163  15.54638884 -061.29959143 3
111  15.54629220 -061.29986529 3
112  15.54630888 -061.30004881  15.54636485 -061.30018513
111  15.54630888 -061.30004881
112  15.54630888 -061.30004881  15.54631211 -061.30005669 3
112  15.54631956 -061.30007334  15.54632346 -061.30008182
111  15.54631956 -061.30007334
112  15.54631956 -061.30007334  15.54639089 -061.30022858 3
111  15.54644509 -061.30035091 3
116  15.54670969 -061.30036365  15.54686871 -061.30015295
120 TL
111  15.54725035 -061.29885844 3
112  15.54707352 -061.29903977  15.54692225 -061.29910722 3
111  15.54660353 -061.29925361 3
112  15.54643717 -061.29928666  15.54635101 -061.29927949
111  15.54643717 -061.29928666
112  15.54643717 -061.29928666  15.54641966 -061.29928520 3
112  15.54638452 -061.29927617  15.54636714 -061.29927001
111  15.54638452 -061.29927617
112  15.54638452 -061.29927617  15.54628162 -061.29923968 3
111  15.54617275 -061.29919656 3
115  15.54535988 -061.30147109
120 TL
111  15.54539722 -061.30172568 3
112  15.54553815 -061.30174374  15.54563470 -061.30171133
111  15.54553815 -061.30174374
112  15.54553815 -061.30174374  15.54558744 -061.30172719 3
112  15.54568535 -061.30175954  15.54573011 -061.30177964
111  15.54568535 -061.30175954
112  15.54568535 -061.30175954  15.54572826 -061.30177881 3
112  15.54578009 -061.30182057  15.54579674 -061.30183584
111  15.54578009 -061.30182057
112  15.54578009 -061.30182057  15.54581410 -061.30185176 3
111  15.54596233 -061.30217213 3
116  15.54598823 -061.30240932  15.54594589 -061.30252969
120 TL
111  15.54595658 -061.30306487 1
112  15.54610832 -061.30263760  15.54614449 -061.30254210
111  15.54610832 -061.30263760
112  15.54610832 -061.30263760  15.54615435 -061.30248928 1
112  15.54608169 -061.30223911  15.54598790 -061.30203585
111  15.54608169 -061.30223911
112  15.54608169 -061.30223911  15.54605133 -061.30216053 1
112  15.54597520 -061.30200198  15.54593867 -061.30192086
111  15.54597520 -061.30200198
112  15.54597520 -061.30200198  15.54585895 -061.30174382 1
115  15.54572697 -061.30146277
120 TL
111  15.54645399 -061.29940576 1
112  15.54696554 -061.29918237  15.54720886 -061.29907144
111  15.54696554 -061.29918237
112  15.54696554 -061.29918237  15.54714870 -061.29909887 1
112  15.54734768 -061.29898303  15.54737760 -061.29894985
111  15.54734768 -061.29898303
112  15.54734768 -061.29898303  15.54747403 -061.29890003 1
115  15.54768900 -061.29816554
120 Hold 1
111  15.54619743 -061.30038184 4
115  15.54630888 -061.30004881
120 Hold 2
111  15.54568535 -061.30175954 4
115  15.54581807 -061.30146785
120 Hold 3
111  15.54651065 -061.29947086 4
115  15.54643717 -061.29928666
20  15.54647676 -061.29956955 303.4200 0 2 {@L}A{@R}09-27
20  15.54616568 -061.30049558 303.4200 0 2 {@L}B{@R}09-27
20  15.54566774 -061.30186532 298.0300 0 2 {@L}C{@R}09-27
14  15.54547706 -061.30070361  82.02 0 Tower Viewpoint 
1300  15.54561995 -061.30138668 -109.94 misc turboprops|props|helos Ramp Start 3
1301 B none 
1300  15.54595914 -061.30036852 -109.94 misc turboprops|props|helos Ramp Start 2
1301 B none 
1300  15.54623900 -061.29964086 -109.94 misc turboprops|props|helos Ramp Start 1
1301 B none 
18  15.54535012 -061.30697223 1 BCN
19  15.54549068 -061.30616081 0 Windsock
19  15.54846180 -061.29361710 0 Windsock
1054 118900 TWR
1200 
1201  15.54536398 -061.30225167 both 0 N_stop
1201  15.54537042 -061.30146739 both 1 N_stop
1201  15.54536539 -061.30184837 both 2 unnamed entity(split)
1201  15.54619041 -061.29920368 both 3 N_stop
1201  15.54642117 -061.29927498 both 4 N_stop
1201  15.54639934 -061.29905922 both 5 N_stop
1201  15.54685012 -061.29817951 both 6 N_stop
1201  15.54691380 -061.29795373 both 7 N_start
1201  15.54515143 -061.30235150 both 8 New Service Truck 3
1206 8 2 twoway  N
1206 1 2 twoway  N
1206 2 0 twoway  N
1206 3 1 twoway  N
1206 4 3 twoway  N
1206 5 4 twoway  N
1206 6 5 twoway  N
1206 7 6 twoway  N
1400  15.54515143 -61.30235150  0.00 baggage_train 2 New Service Truck 3
1400  15.54693089 -61.29790250 -111.90 fuel_props 0 New Service Truck 1
1401  15.54559471 -61.30070602 -22.64 baggage_train New Service Truck Destination 4
1401  15.54534770 -61.30228409  68.82 fuel_props New Service Truck Destination 2
99
